order_id,customer_id,order_date,shipping_city,shipping_state,order_status,coupon_code,discount_pct,delivery_days
500050,110156,2026-03-04 00:00:00,Kanpur,Maharashtra,Cancelled,NONE,25,2
500051,103806,2026-08-22 00:00:00,Ahmedabad,Haryana,Delivered,FLASH15,20,3
500052,113234,2025-02-06 00:00:00,Gurgaon,Madhya Pradesh,Processing,NONE,0,7
500053,116702,2025-11-03 00:00:00,Patna,Jharkhand,Delivered,NONE,5,10
500054,107685,2025-05-26 00:00:00,Chandigarh,Gujarat,Pending,SAVE20,15,6
500055,106598,2026-03-10 00:00:00,Kolkata,Madhya Pradesh,Delivered,,15,6
500056,114168,2026-04-08 00:00:00,Bhopal,Jharkhand,Processing,FLASH15,0,3
500057,112514,2026-08-22 00:00:00,Noida,Maharashtra,Delivered,SAVE20,15,1
500058,113383,2026-02-10 00:00:00,Kolkata,West Bengal,Shipped,FESTIVE25,5,4
500059,105569,2025-06-05 00:00:00,Kanpur,Uttar Pradesh,Delivered,NONE,25,6
500060,111559,2026-08-13 00:00:00,Pune,Haryana,Delivered,NONE,20,7
500061,110006,2026-02-07 00:00:00,Noida,Chandigarh,Delivered,SAVE20,0,3
500062,114399,2025-02-21 00:00:00,Surat,Telangana,Delivered,WELCOME10,20,3
500063,102620,2026-03-30 00:00:00,Surat,Madhya Pradesh,Shipped,NEWUSER,5,4
500064,102487,2026-01-04 00:00:00,Nagpur,Maharashtra,Delivered,SAVE20,0,3
500065,102538,2025-07-16 00:00:00,Hyderabad,Rajasthan,Processing,NONE,0,3
500066,116572,2026-02-24 00:00:00,Bhopal,Jharkhand,Delivered,NEWUSER,25,4
500067,100603,2025-03-02 00:00:00,Surat,West Bengal,Delivered,NONE,0,4
500068,117818,2025-04-24 00:00:00,Chennai,Madhya Pradesh,Processing,FESTIVE25,15,6
500069,106769,2025-08-25 00:00:00,Hyderabad,Maharashtra,delivered,NONE,10,3
500070,112187,2026-02-22 00:00:00,Kolkata,Rajasthan,Delivered,SAVE20,25,3
500071,115129,2025-06-03 00:00:00,Ranchi,Gujarat,CANCELLED,FLASH15,0,15
500072,103494,2025-08-11 00:00:00,Kolkata,Telangana,Shipped,,0,3
500073,105256,2025-08-18 00:00:00,Patna,Karnataka,Cancelled,SAVE20,15,2
500074,102731,2026-06-04 00:00:00,Nagpur,Madhya Pradesh,Delivered,SAVE20,20,3
500075,102050,2026-02-09 00:00:00,Gurgaon,Uttar Pradesh,Delivered,,0,5
500076,100984,2026-03-02 00:00:00,Chennai,Madhya Pradesh,Delivered,FLASH15,5,2
500077,115634,2026-04-29 00:00:00,Bengaluru,Maharashtra,Pending,NONE,0,3
500078,103603,2026-02-03 00:00:00,Mumbai,Bihar,Shipped,FLASH15,15,2
500079,117372,2025-10-05 00:00:00,Delhi,Maharashtra,Delivered,FLASH15,0,4
500080,112120,2025-04-02 00:00:00,Mumbai,Karnataka,Processing,NONE,0,3
500081,114363,2026-04-27 00:00:00,Hyderabad,Tamil Nadu,Processing,NONE,20,4
500082,119118,2026-03-05 00:00:00,Noida,Telangana,Cancelled,NONE,5,2
500083,103525,2025-09-22 00:00:00,Bhopal,Telangana,Returned,NONE,0,4
500084,103365,2026-01-01 00:00:00,Patna,Uttar Pradesh,Delivered,WELCOME10,20,4
500085,113832,2025-07-04 00:00:00,Ranchi,Madhya Pradesh,Delivered,NEWUSER,30,3
500086,110960,2025-05-29 00:00:00,Bhopal,Rajasthan,Delivered,NONE,5,2
500087,108131,2026-03-23 00:00:00,Mumbai,Uttar Pradesh,Delivered,NONE,0,3
500088,104023,2025-01-24 00:00:00,Hyderabad,Telangana,Delivered,NONE,0,3
500089,112477,2025-01-04 00:00:00,Noida,Gujarat,Delivered,NONE,10,6
500090,113967,2025-03-05 00:00:00,Delhi,Maharashtra,Delivered,NONE,25,6
500091,105131,2025-03-26 00:00:00,Kolkata,Bihar,Returned,,10,3
500092,115062,2026-07-11 00:00:00,Ranchi,Maharashtra,Delivered,NONE,0,2
500093,114082,2026-01-25 00:00:00,Noida,Maharashtra,Delivered,NEWUSER,20,2
500094,113804,2026-03-29 00:00:00,Kanpur,Chandigarh,Delivered,NONE,10,4
500095,107108,2025-08-26 00:00:00,Patna,Karnataka,Delivered,FLASH15,0,2
500096,118049,2026-05-12 00:00:00,Chandigarh,Maharashtra,Delivered,SAVE20,10,6
500097,108678,2025-08-16 00:00:00,Noida,Gujarat,Cancelled,NONE,10,3
500098,116016,2026-05-30 00:00:00,Indore,Madhya Pradesh,Pending,NONE,0,3
500099,112253,2026-05-21 00:00:00,Gurgaon,Haryana,Delivered,NONE,0,4
500100,107879,2025-03-01 00:00:00,Surat,Tamil Nadu,Delivered,,0,2
500101,104696,2025-04-21 00:00:00,Pune,Uttar Pradesh,Delivered,FLASH15,0,2
500102,111729,2025-02-09 00:00:00,Delhi,Telangana,Returned,NEWUSER,10,4
500103,109667,2026-03-23 00:00:00,Bengaluru,Maharashtra,Shipped,FLASH15,25,2
500104,114960,2025-07-06 00:00:00,Chennai,Madhya Pradesh,Processing,NONE,10,3
500105,112763,2026-04-30 00:00:00,Nagpur,Haryana,Delivered,FLASH15,0,4
500106,107609,2025-09-07 00:00:00,Kanpur,Gujarat,Pending,NONE,10,4
500107,109576,2025-10-06 00:00:00,Ranchi,Gujarat,Delivered,NONE,20,2
500108,116927,2025-10-24 00:00:00,Mumbai,West Bengal,Delivered,NONE,0,2
500109,100202,2025-01-14 00:00:00,Kolkata,Maharashtra,Delivered,,0,2
500110,103313,2025-11-11 00:00:00,Indore,Tamil Nadu,Delivered,NONE,20,4
500111,118791,2026-07-21 00:00:00,Jaipur,Karnataka,Shipped,FLASH15,30,2
500112,107835,2025-07-26 00:00:00,Nagpur,Bihar,Delivered,NEWUSER,5,3
500113,119838,2025-09-03 00:00:00,Ranchi,Uttar Pradesh,CANCELLED,NONE,10,2
500114,103693,2026-04-19 00:00:00,Kolkata,Uttar Pradesh,Shipped,NONE,30,1
500115,108244,2025-07-09 00:00:00,Hyderabad,Tamil Nadu,Processing,WELCOME10,20,2
500116,100764,2025-02-06 00:00:00,Gurgaon,Jharkhand,Delivered,,0,7
500117,116132,2025-05-07 00:00:00,Gurgaon,Gujarat,Delivered,SAVE20,15,3
500118,118601,2025-11-05 00:00:00,Bengaluru,Maharashtra,Delivered,,30,3
500119,117631,2026-03-26 00:00:00,Bengaluru,Gujarat,delivered,NONE,10,2
500120,105746,2025-05-07 00:00:00,Noida,Gujarat,Cancelled,NONE,25,1
500121,110200,2025-06-11 00:00:00,Surat,Gujarat,Cancelled,WELCOME10,5,5
500122,114750,2025-08-31 00:00:00,Jaipur,Uttar Pradesh,,SAVE20,10,10
500123,103093,2025-08-23 00:00:00,Pune,Madhya Pradesh,Delivered,,15,15
500124,119451,2026-03-14 00:00:00,Chandigarh,Madhya Pradesh,Delivered,SAVE20,25,4
500125,104642,2025-07-24 00:00:00,Surat,Telangana,Processing,NONE,0,2
500126,101538,2025-05-02 00:00:00,Chandigarh,Telangana,Delivered,WELCOME10,15,3
500127,107505,2025-02-12 00:00:00,Bhopal,Uttar Pradesh,Delivered,NEWUSER,30,4
500128,107565,2026-08-25 00:00:00,Jaipur,Telangana,Pending,NONE,0,4
500129,108956,2025-10-30 00:00:00,Patna,Gujarat,Delivered,WELCOME10,5,2
500130,114488,2025-11-08 00:00:00,Noida,Jharkhand,Delivered,NONE,15,4
500131,118009,2025-10-27 00:00:00,Pune,Rajasthan,Shipped,WELCOME10,5,4
500132,112777,2026-06-29 00:00:00,Noida,Uttar Pradesh,Delivered,SAVE20,10,4
500133,117720,2025-11-07 00:00:00,Chennai,Tamil Nadu,Delivered,SAVE20,0,2
500134,113152,2025-05-04 00:00:00,Chennai,Uttar Pradesh,Cancelled,NONE,20,3
500135,107441,2025-02-21 00:00:00,Kolkata,Uttar Pradesh,Delivered,FLASH15,15,3
500136,112993,2025-06-28 00:00:00,Patna,Haryana,Shipped,NONE,0,5
500137,109967,2025-03-06 00:00:00,Jaipur,Madhya Pradesh,Delivered,NONE,0,2
500138,101498,2026-07-02 00:00:00,Nagpur,Maharashtra,Delivered,NEWUSER,25,3
500139,111388,2025-08-08 00:00:00,Hyderabad,Bihar,Cancelled,FESTIVE25,0,4
500140,100605,2026-07-11 00:00:00,Indore,Maharashtra,Processing,NONE,5,4
500141,100674,2026-02-09 00:00:00,Bengaluru,Chandigarh,Pending,SAVE20,0,7
500142,116428,2026-05-18 00:00:00,Indore,Madhya Pradesh,Shipped,WELCOME10,15,1
500143,107999,2025-05-25 00:00:00,Hyderabad,Haryana,Delivered,NEWUSER,0,1
500144,105356,2026-07-24 00:00:00,Surat,Tamil Nadu,Delivered,,10,1
500145,116594,2026-06-06 00:00:00,Mumbai,Gujarat,Pending,NONE,10,10
500146,106796,2025-03-28 00:00:00,Gurgaon,Delhi,Delivered,NEWUSER,15,5
500147,107589,2025-02-11 00:00:00,Delhi,Rajasthan,Shipped,WELCOME10,0,2
500148,112628,2026-02-26 00:00:00,Bengaluru,Telangana,Delivered,NONE,30,1
500149,101675,2026-01-21 00:00:00,Chennai,Madhya Pradesh,Delivered,FESTIVE25,0,3
500150,116985,2026-08-23 00:00:00,Indore,Madhya Pradesh,Cancelled,SAVE20,30,5
500151,105129,2025-12-09 00:00:00,Indore,Chandigarh,Delivered,NONE,0,3
500152,114849,2026-03-21 00:00:00,Bhopal,Bihar,Cancelled,NONE,10,4
500153,104897,2025-08-16 00:00:00,Chandigarh,Jharkhand,Delivered,SAVE20,0,3
500154,109327,2026-07-09 00:00:00,Bhopal,Maharashtra,delivered,NONE,10,1
500155,108862,2026-02-06 00:00:00,Hyderabad,Maharashtra,Returned,,15,3
500156,105586,2025-08-17 00:00:00,Noida,Jharkhand,Delivered,NONE,0,2
500157,105912,2025-11-07 00:00:00,Delhi,Delhi,Shipped,NEWUSER,0,6
500158,112280,2026-01-27 00:00:00,Hyderabad,Uttar Pradesh,Cancelled,FESTIVE25,20,2
500159,102296,2025-04-29 00:00:00,Ahmedabad,Maharashtra,Delivered,WELCOME10,5,10
500160,103158,2025-09-21 00:00:00,Ranchi,Maharashtra,Delivered,SAVE20,0,5
500161,113272,2025-07-11 00:00:00,Ahmedabad,Haryana,Delivered,FESTIVE25,15,4
500162,110493,2025-09-27 00:00:00,Indore,Maharashtra,Delivered,SAVE20,5,5
500163,106395,2026-03-30 00:00:00,Jaipur,Uttar Pradesh,Delivered,NONE,0,3
500164,115993,2025-03-18 00:00:00,Surat,Madhya Pradesh,Delivered,FESTIVE25,15,2
500165,103354,2025-09-27 00:00:00,Bengaluru,Madhya Pradesh,Shipped,WELCOME10,15,3
500166,114122,2025-09-07 00:00:00,Delhi,Maharashtra,Shipped,NONE,15,15
500167,101648,2025-07-09 00:00:00,Pune,Gujarat,Delivered,NONE,0,3
500168,100897,2026-01-31 00:00:00,Kolkata,Bihar,Shipped,NONE,20,2
500169,106395,2025-03-15 00:00:00,Delhi,Madhya Pradesh,Delivered,FESTIVE25,0,3
500170,119072,2025-04-19 00:00:00,Ahmedabad,Maharashtra,Pending,NONE,15,4
500171,104095,2025-03-08 00:00:00,Bhopal,Maharashtra,Returned,SAVE20,0,4
500172,116594,2026-05-20 00:00:00,Kolkata,Madhya Pradesh,Pending,NONE,0,1
500173,110596,2026-01-07 00:00:00,Indore,Maharashtra,Delivered,SAVE20,0,6
500174,119938,2025-05-17 00:00:00,Patna,Maharashtra,Delivered,NONE,0,6
500175,117225,2025-08-13 00:00:00,Ranchi,Gujarat,Delivered,NONE,5,1
500176,118779,2025-02-14 00:00:00,Kolkata,Karnataka,Delivered,,15,5
500177,101689,2026-08-09 00:00:00,Patna,Maharashtra,Delivered,WELCOME10,10,3
500178,119688,2025-07-25 00:00:00,Delhi,Uttar Pradesh,Shipped,SAVE20,20,3
500179,104127,2025-11-21 00:00:00,Jaipur,Maharashtra,Cancelled,NONE,5,2
500180,108913,2025-09-23 00:00:00,Patna,Gujarat,Cancelled,WELCOME10,20,4
500181,103442,2026-03-26 00:00:00,Noida,Maharashtra,Processing,NONE,5,1
500182,103876,2025-02-18 00:00:00,Gurgaon,Uttar Pradesh,Delivered,WELCOME10,20,2
500183,104449,2025-06-18 00:00:00,Patna,Tamil Nadu,Returned,SAVE20,0,4
500184,115046,2025-05-06 00:00:00,Bengaluru,Delhi,Delivered,NONE,5,1
500185,105849,2025-09-29 00:00:00,Patna,Tamil Nadu,Delivered,,15,6
500186,108515,2025-12-11 00:00:00,Indore,Uttar Pradesh,Delivered,SAVE20,10,4
500187,100345,2026-05-03 00:00:00,Pune,Uttar Pradesh,Shipped,NEWUSER,20,5
500188,101176,2025-01-31 00:00:00,Gurgaon,Karnataka,Delivered,SAVE20,20,2
500189,104285,2026-04-19 00:00:00,Bhopal,Rajasthan,Shipped,NONE,10,3
500190,103385,2026-03-04 00:00:00,Indore,Uttar Pradesh,Processing,WELCOME10,0,1
500191,109812,2025-12-04 00:00:00,Noida,Delhi,Delivered,WELCOME10,20,15
500192,101875,2026-01-22 00:00:00,Indore,Bihar,Delivered,NONE,30,2
500193,100958,2026-01-31 00:00:00,Chennai,Jharkhand,Delivered,NONE,15,3
500194,100331,2026-07-27 00:00:00,Hyderabad,Delhi,Delivered,NONE,10,10
500195,107360,2025-01-06 00:00:00,Pune,Uttar Pradesh,Processing,WELCOME10,10,3
500196,114897,2026-04-14 00:00:00,Chennai,Tamil Nadu,Delivered,FESTIVE25,25,3
500197,111556,2026-04-18 00:00:00,Patna,Madhya Pradesh,Delivered,NONE,5,3
500198,101237,2025-04-07 00:00:00,Mumbai,Jharkhand,Delivered,FESTIVE25,0,3
500199,109803,2025-01-17 00:00:00,Kanpur,Gujarat,Delivered,NONE,0,5
500200,104254,2025-12-26 00:00:00,Pune,Maharashtra,Returned,WELCOME10,0,6
500201,119803,2025-10-21 00:00:00,Chennai,Madhya Pradesh,Delivered,NONE,0,5
500202,118153,2026-05-10 00:00:00,Jaipur,Bihar,Delivered,SAVE20,5,5
500203,114699,2025-10-09 00:00:00,Bengaluru,Delhi,Delivered,NONE,15,2
500204,117070,2026-03-25 00:00:00,Noida,Gujarat,Shipped,NONE,20,6
500205,113148,2026-01-21 00:00:00,Surat,Maharashtra,Pending,,0,2
500206,114794,2026-08-18 00:00:00,Surat,Rajasthan,Delivered,FLASH15,0,3
500207,107917,2025-05-12 00:00:00,Chandigarh,Rajasthan,Delivered,FESTIVE25,25,1
500208,114455,2025-07-15 00:00:00,Bhopal,Maharashtra,Delivered,WELCOME10,0,5
500209,112929,2025-02-25 00:00:00,Ahmedabad,Delhi,Delivered,FESTIVE25,0,6
500210,115082,2026-04-23 00:00:00,Ranchi,Gujarat,Delivered,NONE,20,4
500211,106588,2025-01-08 00:00:00,Mumbai,Gujarat,Delivered,FLASH15,20,4
500212,108850,2025-09-19 00:00:00,Nagpur,Jharkhand,Shipped,NONE,5,6
500213,102659,2026-05-19 00:00:00,Bengaluru,Madhya Pradesh,Delivered,NONE,15,3
500214,111760,2025-11-10 00:00:00,Hyderabad,Karnataka,,FLASH15,0,7
500215,112018,2025-05-28 00:00:00,Jaipur,Madhya Pradesh,Delivered,FESTIVE25,5,1
500216,117574,2025-11-28 00:00:00,Gurgaon,Bihar,Delivered,SAVE20,20,4
500217,102882,2025-11-02 00:00:00,Patna,Chandigarh,Pending,,0,4
500218,115558,2025-03-06 00:00:00,Hyderabad,Madhya Pradesh,Delivered,SAVE20,20,6
500219,106203,2025-05-31 00:00:00,Bengaluru,Uttar Pradesh,Shipped,SAVE20,25,5
500220,107420,2026-99-99,Kolkata,Madhya Pradesh,Delivered,WELCOME10,5,5
500221,108629,2025-04-03 00:00:00,Chennai,Gujarat,Delivered,NONE,0,3
500222,105225,2026-04-11 00:00:00,Chennai,Rajasthan,Processing,NEWUSER,20,10
500223,101188,2026-02-11 00:00:00,Ranchi,Haryana,Processing,NONE,0,4
500224,112000,2025-09-24 00:00:00,Jaipur,Bihar,Shipped,NONE,0,4
500225,111148,2025-04-17 00:00:00,Chennai,Karnataka,Processing,FESTIVE25,0,3
500226,105816,2026-05-01 00:00:00,Mumbai,Jharkhand,Processing,NONE,0,3
500227,100024,2025-08-07 00:00:00,Ahmedabad,Tamil Nadu,Delivered,NONE,20,4
500228,109734,2026-05-22 00:00:00,Pune,Uttar Pradesh,Delivered,SAVE20,0,2
500229,109883,2026-08-31 00:00:00,Hyderabad,Chandigarh,,WELCOME10,0,5
500230,108535,2025-08-20 00:00:00,Gurgaon,Tamil Nadu,Pending,NONE,0,1
500231,101484,2026-03-01 00:00:00,Chennai,Haryana,Cancelled,NONE,0,6
500232,119326,2025-05-16 00:00:00,Hyderabad,Gujarat,Delivered,SAVE20,10,3
500233,118958,2025-05-10 00:00:00,Chennai,Madhya Pradesh,Returned,WELCOME10,25,5
500234,119053,2025-05-03 00:00:00,Bengaluru,Madhya Pradesh,Shipped,FLASH15,0,3
500235,114722,2026-01-26 00:00:00,Chandigarh,Tamil Nadu,Delivered,NONE,10,4
500236,110691,2026-04-13 00:00:00,Lucknow,Maharashtra,delivered,WELCOME10,0,4
500237,110582,2026-07-21 00:00:00,Jaipur,Gujarat,Cancelled,,10,7
500238,108696,2025-08-06 00:00:00,Kanpur,Madhya Pradesh,Pending,FLASH15,5,2
500239,106351,2025-04-03 00:00:00,Ahmedabad,Rajasthan,Delivered,WELCOME10,20,5
500240,116346,2026-05-16 00:00:00,Gurgaon,Jharkhand,Delivered,NONE,0,5
500241,117056,2025-12-17 00:00:00,Ahmedabad,Tamil Nadu,Cancelled,NONE,10,4
500242,108565,2026-02-28 00:00:00,Noida,Karnataka,Shipped,NONE,0,1
500243,104177,2025-02-24 00:00:00,Delhi,Madhya Pradesh,Pending,NEWUSER,15,2
500244,111799,2025-11-29 00:00:00,Jaipur,Rajasthan,Delivered,NEWUSER,0,7
500245,119121,2026-99-99,Bhopal,Gujarat,CANCELLED,NONE,0,6
500246,114894,2025-05-21 00:00:00,Patna,Chandigarh,Shipped,FESTIVE25,0,4
500247,116155,2026-07-28 00:00:00,Surat,Uttar Pradesh,Returned,WELCOME10,15,2
500248,106120,2026-07-25 00:00:00,Mumbai,Madhya Pradesh,Cancelled,NONE,15,1
500249,112664,2026-06-21 00:00:00,Patna,Madhya Pradesh,Delivered,FLASH15,5,1
500250,112672,2025-11-07 00:00:00,Noida,West Bengal,Delivered,NONE,15,3
500251,107502,2026-01-29 00:00:00,Pune,Madhya Pradesh,Delivered,,0,4
500252,113288,2025-01-08 00:00:00,Patna,Uttar Pradesh,Shipped,NEWUSER,0,4
500253,112816,2026-05-14 00:00:00,Jaipur,Rajasthan,Delivered,SAVE20,15,10
500254,119020,2026-08-09 00:00:00,Patna,Telangana,Delivered,NONE,25,3
500255,118282,2025-08-27 00:00:00,Jaipur,Madhya Pradesh,Delivered,NONE,15,3
500256,106993,2025-10-26 00:00:00,Chandigarh,Telangana,Delivered,,10,6
500257,115079,2026-02-12 00:00:00,Delhi,Maharashtra,Shipped,WELCOME10,25,3
500258,103949,2025-04-11 00:00:00,Kolkata,Telangana,delivered,NONE,15,3
500259,110493,2025-08-18 00:00:00,Bengaluru,Madhya Pradesh,Delivered,WELCOME10,15,4
500260,101228,2026-02-05 00:00:00,Indore,Telangana,Pending,FESTIVE25,0,7
500261,109119,2025-05-09 00:00:00,Chennai,Gujarat,Shipped,NONE,10,7
500262,113159,2025-03-11 00:00:00,Bengaluru,Jharkhand,delivered,WELCOME10,30,3
500263,110261,2026-03-31 00:00:00,Ahmedabad,Uttar Pradesh,Shipped,NEWUSER,0,3
500264,112439,2025-09-06 00:00:00,Bhopal,Uttar Pradesh,Delivered,FLASH15,0,2
500265,888888,2026-03-26 00:00:00,Indore,Tamil Nadu,Delivered,NEWUSER,0,3
500266,108254,2025-06-18 00:00:00,Kolkata,Uttar Pradesh,Delivered,NEWUSER,10,4
500267,101882,2025-07-12 00:00:00,Pune,Maharashtra,Delivered,NONE,0,3
500268,116072,2025-03-08 00:00:00,Kolkata,Uttar Pradesh,Shipped,,15,3
500269,109549,2025-04-26 00:00:00,Bengaluru,Madhya Pradesh,Delivered,NONE,0,2
500270,117635,2025-01-31 00:00:00,Surat,Bihar,Delivered,NONE,0,4
500271,104932,2026-02-20 00:00:00,Hyderabad,Rajasthan,Delivered,NONE,25,2
500272,107743,2025-02-03 00:00:00,Nagpur,Madhya Pradesh,Shipped,NONE,10,3
500273,109750,2025-02-01 00:00:00,Ranchi,Gujarat,Delivered,NONE,10,2
500274,100534,2025-05-09 00:00:00,Jaipur,Gujarat,Cancelled,NONE,10,2
500275,109658,2026-05-17 00:00:00,Kanpur,Maharashtra,Delivered,SAVE20,25,1
500276,113573,2025-09-10 00:00:00,Noida,Tamil Nadu,Pending,SAVE20,0,4
500277,118611,2025-04-12 00:00:00,Bhopal,Haryana,delivered,NONE,0,4
500278,106819,2025-08-03 00:00:00,Delhi,Bihar,Delivered,SAVE20,20,5
500279,116908,2025-10-21 00:00:00,Delhi,Uttar Pradesh,Processing,NONE,5,7
500280,105145,2026-07-31 00:00:00,Indore,Uttar Pradesh,Delivered,,0,4
500281,117724,2026-04-30 00:00:00,Delhi,Tamil Nadu,,NONE,5,3
500282,118343,2026-07-02 00:00:00,Mumbai,Madhya Pradesh,Delivered,NONE,15,2
500283,111846,2025-10-19 00:00:00,Bengaluru,Madhya Pradesh,Pending,NONE,0,5
500284,112378,2026-06-06 00:00:00,Kolkata,Madhya Pradesh,Delivered,NONE,0,4
500285,106340,2025-12-17 00:00:00,Surat,Maharashtra,Returned,SAVE20,15,4
500286,105261,2026-07-22 00:00:00,Hyderabad,West Bengal,Delivered,SAVE20,5,3
500287,111269,2025-06-08 00:00:00,Mumbai,Bihar,Delivered,NONE,0,2
500288,112650,2025-05-23 00:00:00,Patna,Madhya Pradesh,Shipped,,0,3
500289,111920,2026-04-30 00:00:00,Chennai,Jharkhand,Delivered,NONE,5,1
500290,107699,2025-06-26 00:00:00,Lucknow,Jharkhand,Delivered,SAVE20,25,4
500291,102546,2026-06-21 00:00:00,Gurgaon,Karnataka,Delivered,NONE,0,5
500292,119609,2025-01-23 00:00:00,Mumbai,Haryana,,FLASH15,0,7
500293,104164,2026-07-15 00:00:00,Ahmedabad,Telangana,Shipped,NONE,0,3
500294,119932,2025-10-04 00:00:00,Bhopal,Gujarat,Pending,FLASH15,15,2
500295,110609,2025-12-13 00:00:00,Gurgaon,Rajasthan,Delivered,NEWUSER,0,5
500296,107317,2025-08-02 00:00:00,Surat,Maharashtra,CANCELLED,NEWUSER,25,6
500297,111103,2026-08-17 00:00:00,Bengaluru,Maharashtra,Delivered,NONE,20,2
500298,116458,2026-08-16 00:00:00,Patna,Tamil Nadu,Delivered,NONE,25,2
500299,109987,2025-09-02 00:00:00,Hyderabad,West Bengal,delivered,FESTIVE25,30,4
500300,104321,2026-08-11 00:00:00,Hyderabad,Jharkhand,Shipped,NONE,0,7
500301,117957,2025-06-08 00:00:00,Hyderabad,Maharashtra,Processing,NEWUSER,0,2
500302,107577,2025-05-26 00:00:00,Indore,Haryana,Returned,WELCOME10,0,7
500303,117972,2026-01-21 00:00:00,Ahmedabad,Telangana,Shipped,FLASH15,15,5
