payment_id,order_id,payment_date,payment_method,payment_status,amount
700076,585249,2025-04-29 00:00:00,UPI,Success,64095.76
700077,594754,2026-05-22 00:00:00,Cash on Delivery,Success,54829.14
700078,571343,2025-09-06 00:00:00,Wallet,Success,60569.65
700079,523712,2026-03-03 00:00:00,Net Banking,Success,1959.88
700080,519277,2026-06-06 00:00:00,Debit Card,Success,68724.28
700081,575581,2025-12-30 00:00:00,Debit Card,Success,79119.98
700082,562706,2025-10-07 00:00:00,UPI,Success,19949.22
700083,528335,2026-04-20 00:00:00,Credit Card,Success,3110.65
700084,558966,2026-08-25 00:00:00,UPI,Success,1790.19
700085,575058,2026-07-30 00:00:00,Cash on Delivery,Success,9768.76
700086,572384,2025-02-08 00:00:00,UPI,Success,12729.56
700087,532642,2026-08-25 00:00:00,Net Banking,Success,1469.98
700088,560061,2025-06-25 00:00:00,Debit Card,Pending,30923.55
700089,570086,2025-07-21 00:00:00,COD,Success,30082.22
700090,578041,2025-07-20 00:00:00,Debit Card,Success,58381.64
700091,577247,2025-12-13 00:00:00,Debit Card,Success,60816.61
700092,563144,2025-08-21 00:00:00,,Success,15941.96
700093,523070,2026-07-19 00:00:00,UPI,Success,50925.04
700094,543133,2025-06-07 00:00:00,COD,Success,28768.03
700095,571389,2026-08-11 00:00:00,COD,Success,67915.37
700096,558847,2026-08-05 00:00:00,upi,Success,43098.1
700097,577295,2026-02-25 00:00:00,Cash on Delivery,Success,37515.06
700098,545219,2026-06-08 00:00:00,Debit Card,Success,7127.95
700099,572749,2026-03-21 00:00:00,Credit Card,Success,51907.83
700100,516159,2025-07-30 00:00:00,Debit Card,Success,26424.98
700101,519778,2025-02-05 00:00:00,UPI,Success,2318.38
700102,510707,2025-06-26 00:00:00,,Success,36886.79
700103,517014,2025-03-13 00:00:00,upi,Success,21952.79
700104,533947,2025-05-28 00:00:00,UPI,Success,22341.22
700105,541216,2025-11-12 00:00:00,Net Banking,Refunded,69523.61
700106,596955,2026-08-29 00:00:00,COD,Pending,72626.78
700107,594216,2025-09-20 00:00:00,Debit Card,Success,73842.34
700108,580183,2026-02-16 00:00:00,COD,Success,59766.35
700109,572426,2026-08-04 00:00:00,Credit Card,Success,9864.52
700110,539603,2026-03-12 00:00:00,,Success,5507.84
700111,565814,2025-02-20 00:00:00,UPI,Success,25835.53
700112,508834,2025-09-01 00:00:00,Wallet,Success,72154.11
700113,575557,2026-07-09 00:00:00,Credit Card,Success,9927.0
700114,542299,2025-02-19 00:00:00,UPI,Success,3006.92
700115,573246,2025-12-11 00:00:00,,success,73361.16
700116,510822,2026-03-21 00:00:00,UPI,Pending,2212.09
700117,532370,2025-12-22 00:00:00,Credit Card,Success,58884.85
700118,533121,2026-08-12 00:00:00,,Failed,57929.21
700119,559873,2025-06-20 00:00:00,Wallet,Pending,33799.48
700120,529816,2025-09-25 00:00:00,Net Banking,Success,3840.07
700121,562055,2026-08-14 00:00:00,Net Banking,Pending,
700122,502086,2026-05-20 00:00:00,UPI,Pending,42844.98
700123,589932,2025-12-10 00:00:00,Net Banking,Success,24770.58
700124,552895,2026-08-09 00:00:00,COD,Success,16302.35
700125,529217,2025-08-07 00:00:00,UPI,Pending,68777.38
700126,504335,2026-06-14 00:00:00,Cash on Delivery,Success,18367.67
700127,557379,2025-08-28 00:00:00,Wallet,Refunded,67378.65
700128,540938,2026-08-28 00:00:00,COD,success,59753.7
700129,576200,2025-06-22 00:00:00,Net Banking,Success,49679.13
700130,596947,2025-01-12 00:00:00,Credit Card,Success,14166.48
700131,543901,2025-05-14 00:00:00,Credit Card,,56767.72
700132,540107,2026-03-27 00:00:00,Net Banking,Success,7261.96
700133,599869,2025-03-29 00:00:00,Credit Card,Success,61631.27
700134,585388,2025-01-20 00:00:00,Wallet,Success,71708.39
700135,551229,2025-11-11 00:00:00,Debit Card,Failed,12378.6
700136,579221,2026-04-22 00:00:00,Debit Card,Pending,79776.6
700137,594660,2026-05-08 00:00:00,UPI,Success,22983.85
700138,560773,2025-01-16 00:00:00,UPI,Failed,58092.21
700139,577783,2025-04-01 00:00:00,Net Banking,Success,23611.9
700140,554941,2026-08-05 00:00:00,Wallet,,42071.7
700141,527037,2025-08-12 00:00:00,Credit Card,Success,26289.99
700142,522861,2025-02-09 00:00:00,UPI,Success,52144.39
700143,525809,2025-02-04 00:00:00,Credit Card,Refunded,23086.23
700144,535901,2026-04-25 00:00:00,Credit Card,Pending,12307.75
700145,544524,2025-01-15 00:00:00,UPI,Pending,55713.54
700146,560301,2026-05-01 00:00:00,COD,Success,73527.07
700147,549724,2025-04-19 00:00:00,Net Banking,Success,78763.59
700148,593601,2025-06-13 00:00:00,Wallet,Success,41248.2
700149,582730,2025-12-30 00:00:00,Cash on Delivery,Success,47706.86
700150,597122,2025-07-09 00:00:00,Credit Card,Success,9666.7
700151,580745,2025-11-30 00:00:00,Net Banking,Success,29507.19
700152,505022,2026-07-28 00:00:00,UPI,Refunded,49715.61
700153,580982,2026-04-01 00:00:00,Debit Card,Refunded,44546.58
700154,543331,2025-03-31 00:00:00,Debit Card,Refunded,19312.95
700155,585654,2025-09-21 00:00:00,Wallet,Success,46559.3
700156,546171,2026-07-30 00:00:00,UPI,Success,49612.17
700157,534258,2026-06-23 00:00:00,Debit Card,Success,5261.7
700158,551407,2025-02-03 00:00:00,COD,Success,47021.4
700159,591894,2026-08-06 00:00:00,UPI,Success,64605.56
700160,583621,2025-01-17 00:00:00,Net Banking,Failed,59607.94
700161,595707,2025-07-17 00:00:00,Credit Card,Success,36216.6
700162,524891,2026-02-10 00:00:00,Debit Card,Success,46427.45
700163,542046,2025-07-20 00:00:00,UPI,success,10444.5
700164,596383,2025-08-26 00:00:00,UPI,Success,63465.9
700165,514130,2025-08-15 00:00:00,Credit Card,Failed,8848.5
700166,542134,2025-01-30 00:00:00,COD,Pending,57307.21
700167,523478,2025-08-06 00:00:00,Credit Card,Success,50322.66
700168,530781,2026-08-12 00:00:00,Credit Card,Success,78571.56
700169,517363,2026-04-21 00:00:00,UPI,Success,61166.81
700170,540130,2026-05-01 00:00:00,upi,Success,55121.41
700171,531442,2025-10-22 00:00:00,Cash on Delivery,Refunded,61383.16
700172,502819,2026-08-16 00:00:00,upi,Refunded,20430.95
700173,596861,2025-12-31 00:00:00,UPI,Failed,67619.28
700174,589258,2025-12-06 00:00:00,Credit Card,Failed,76895.59
700175,506893,2025-12-31 00:00:00,Net Banking,,45325.01
700176,540859,2025-07-06 00:00:00,Net Banking,Success,35603.4
700177,532963,2025-09-19 00:00:00,Net Banking,Success,47517.25
700178,562301,2026-08-21 00:00:00,Credit Card,Refunded,60222.24
700179,586492,2025-11-22 00:00:00,upi,Success,8541.01
700180,544397,2026-07-10 00:00:00,UPI,Success,20130.78
700181,583811,2026-05-25 00:00:00,UPI,Success,18443.38
700182,577260,2026-01-06 00:00:00,Credit Card,Failed,41233.13
700183,510462,2026-03-04 00:00:00,Net Banking,Success,64428.49
700184,572514,2025-11-27 00:00:00,Credit Card,Success,71717.88
700185,520477,2026-08-24 00:00:00,COD,Success,77864.09
700186,568626,2026-06-17 00:00:00,UPI,Success,48695.69
700187,581130,2026-04-03 00:00:00,Cash on Delivery,Success,78081.66
700188,524867,2025-04-05 00:00:00,UPI,Success,57065.3
700189,585407,2025-06-12 00:00:00,Debit Card,Pending,20818.18
700190,597844,2025-09-24 00:00:00,UPI,Success,66947.61
700191,594106,2025-01-21 00:00:00,Wallet,Success,10881.0
700192,584868,2025-10-17 00:00:00,COD,Success,578.83
700193,500248,2026-06-09 00:00:00,UPI,Success,27607.82
700194,568511,2025-11-09 00:00:00,Credit Card,Success,67605.06
700195,540045,2025-05-19 00:00:00,UPI,Refunded,26833.01
700196,531386,2025-06-18 00:00:00,Cash on Delivery,Pending,46076.58
700197,594774,2025-01-30 00:00:00,Wallet,Success,45316.74
700198,593316,2026-05-03 00:00:00,UPI,Refunded,74304.04
700199,528219,2025-07-04 00:00:00,Net Banking,Refunded,27021.09
700200,591834,2025-07-11 00:00:00,COD,Success,22758.76
700201,568091,2025-05-16 00:00:00,UPI,Success,44745.2
700202,538836,2025-03-05 00:00:00,upi,Success,35265.19
700203,550140,2025-04-27 00:00:00,Net Banking,Success,1049.19
700204,590291,2026-06-15 00:00:00,UPI,,61285.78
700205,587037,2026-08-14 00:00:00,Wallet,Success,42666.27
700206,566994,2025-10-08 00:00:00,COD,Success,20212.83
700207,597753,2025-06-13 00:00:00,Credit Card,Success,25410.26
700208,557428,2025-12-15 00:00:00,UPI,Failed,18003.81
700209,565058,2026-03-08 00:00:00,Wallet,Success,48090.47
700210,560545,2026-07-06 00:00:00,upi,Success,2325.83
700211,593718,2025-09-16 00:00:00,UPI,Success,47811.38
700212,512269,2025-10-03 00:00:00,Debit Card,Success,56888.28
700213,553728,2026-03-24 00:00:00,Net Banking,,39890.42
700214,532827,2026-04-27 00:00:00,UPI,Success,64487.99
700215,556516,2026-06-11 00:00:00,COD,success,77804.08
700216,571190,2026-06-13 00:00:00,upi,Success,12805.07
700217,505682,2026-03-09 00:00:00,Wallet,Failed,44749.98
700218,569869,2026-03-06 00:00:00,Credit Card,Success,68992.3
700219,505440,2026-07-24 00:00:00,,Success,53523.87
700220,595784,2026-07-29 00:00:00,Debit Card,Failed,909.17
700221,566433,2025-09-23 00:00:00,COD,Success,7956.39
700222,512170,2026-04-20 00:00:00,Debit Card,Success,76016.18
700223,557907,2026-07-22 00:00:00,COD,Success,79402.99
700224,509012,2026-02-27 00:00:00,Wallet,Success,66229.88
700225,548171,2025-07-04 00:00:00,Debit Card,Success,44637.1
700226,514017,2026-07-10 00:00:00,Net Banking,Success,35591.62
700227,533554,2026-06-22 00:00:00,Debit Card,Refunded,46541.52
700228,501778,2025-06-04 00:00:00,Credit Card,Success,44154.26
700229,510371,2026-02-05 00:00:00,Net Banking,Success,44378.43
700230,561216,2025-12-03 00:00:00,UPI,Failed,18679.98
700231,597271,2026-04-19 00:00:00,,Success,62778.88
700232,550392,2025-04-03 00:00:00,Debit Card,Success,61545.13
700233,512761,2025-08-11 00:00:00,COD,Success,60956.92
700234,577548,2025-09-10 00:00:00,UPI,Success,20972.61
700235,569531,2025-11-23 00:00:00,UPI,Success,2381.6
700236,573275,2026-08-13 00:00:00,COD,Success,45849.28
700237,527497,2025-11-08 00:00:00,Debit Card,Success,65629.05
700238,549638,2026-08-17 00:00:00,Debit Card,Refunded,6080.36
700239,586532,2025-10-21 00:00:00,Credit Card,Success,36393.29
700240,528947,2025-01-02 00:00:00,Credit Card,Success,68052.69
700241,529949,2026-05-17 00:00:00,Cash on Delivery,Failed,47224.4
700242,551178,2025-06-01 00:00:00,COD,,60333.8
700243,509845,2025-08-21 00:00:00,UPI,Success,32920.06
700244,587591,2025-01-20 00:00:00,COD,Success,32884.28
700245,557045,2025-10-11 00:00:00,Credit Card,Success,3800.13
700246,534302,2026-03-11 00:00:00,Credit Card,Success,13642.23
700247,578819,2025-05-05 00:00:00,Credit Card,Success,23486.5
700248,551804,2025-10-23 00:00:00,Credit Card,Success,65069.64
700249,583421,2026-06-04 00:00:00,COD,Success,19263.64
700250,543804,2026-04-24 00:00:00,UPI,Success,77736.88
700251,541361,2026-04-11 00:00:00,Debit Card,Success,24692.76
700252,514984,2025-03-07 00:00:00,COD,Success,34270.5
700253,524974,2026-01-26 00:00:00,Debit Card,Success,46316.47
700254,505950,2025-12-17 00:00:00,Credit Card,Success,37489.96
700255,514224,2025-09-14 00:00:00,UPI,Success,36867.6
700256,558182,2026-09-05 00:00:00,Cash on Delivery,Success,28040.07
700257,589245,2025-08-06 00:00:00,UPI,Success,34882.92
700258,537716,2025-02-12 00:00:00,Debit Card,Failed,61620.53
700259,552820,2025-06-07 00:00:00,Net Banking,Pending,52537.57
700260,518599,2025-01-13 00:00:00,Net Banking,Success,57340.86
700261,513403,2025-10-14 00:00:00,COD,Success,38655.92
700262,579536,2025-02-11 00:00:00,UPI,Success,34400.34
700263,583043,2025-12-23 00:00:00,,Failed,73269.61
700264,577584,2025-06-21 00:00:00,UPI,Failed,73304.01
700265,575279,2025-01-23 00:00:00,COD,Success,42891.4
700266,508702,2025-05-08 00:00:00,Debit Card,Refunded,44095.61
700267,517743,2025-07-02 00:00:00,Cash on Delivery,Refunded,65154.62
700268,532670,2026-06-25 00:00:00,UPI,,35966.05
700269,597141,2025-06-01 00:00:00,UPI,Success,8639.45
700270,521648,2026-01-22 00:00:00,Wallet,Failed,15611.44
700271,581232,2026-05-14 00:00:00,,Success,54016.62
700272,581723,2025-10-25 00:00:00,Wallet,Success,53968.67
700273,529939,2025-02-09 00:00:00,UPI,Success,21492.08
700274,543697,2025-12-13 00:00:00,UPI,Success,39328.24
700275,588617,2025-01-13 00:00:00,Debit Card,Success,68157.01
700276,570849,2025-12-21 00:00:00,Credit Card,Refunded,54086.54
700277,562689,2026-06-28 00:00:00,Credit Card,Success,48396.82
700278,560260,2026-08-05 00:00:00,UPI,Refunded,63396.63
700279,507901,2025-10-05 00:00:00,Net Banking,Refunded,-500.0
700280,598147,2025-07-25 00:00:00,UPI,Success,49908.82
700281,581491,2025-09-06 00:00:00,Credit Card,Success,64213.89
700282,545780,2025-04-12 00:00:00,UPI,Success,53231.09
700283,581958,2025-02-13 00:00:00,UPI,Success,29139.11
700284,561426,2026-07-01 00:00:00,COD,Success,65167.78
700285,557931,2026-06-29 00:00:00,Wallet,Success,59802.82
700286,582523,2025-01-04 00:00:00,upi,Success,41500.25
700287,533752,2026-02-14 00:00:00,Net Banking,Failed,38588.4
700288,541868,2026-02-16 00:00:00,Net Banking,Success,16033.0
700289,516891,2026-09-05 00:00:00,Credit Card,Success,56388.64
700290,572706,2026-08-22 00:00:00,COD,Success,61129.21
700291,579155,2026-03-24 00:00:00,Credit Card,success,19151.15
700292,554570,2025-10-24 00:00:00,Debit Card,Success,17615.9
700293,517051,2025-05-23 00:00:00,UPI,Success,21778.52
700294,514327,2025-06-13 00:00:00,UPI,Success,26757.16
700295,547551,2025-09-07 00:00:00,Net Banking,Success,46207.9
700296,556059,2025-04-21 00:00:00,Debit Card,Success,32556.75
700297,551261,2026-02-22 00:00:00,COD,Refunded,48157.36
700298,568762,2026-03-23 00:00:00,COD,Success,28099.5
700299,562445,2025-12-02 00:00:00,Net Banking,Success,17694.41
700300,551389,2025-06-07 00:00:00,Debit Card,Success,38735.87
700301,554553,2025-07-29 00:00:00,COD,Success,878.57
700302,589332,2025-02-26 00:00:00,Debit Card,Success,72503.23
700303,594223,2025-09-12 00:00:00,Net Banking,Failed,42955.39
700304,501401,2025-12-24 00:00:00,Debit Card,Success,45447.31
700305,552216,2025-03-18 00:00:00,Wallet,Success,999999.0
700306,564234,2026-08-16 00:00:00,Debit Card,Success,65345.66
700307,594839,2025-08-15 00:00:00,Debit Card,Success,37589.82
700308,534974,2025-03-31 00:00:00,UPI,Pending,
700309,505489,2025-08-18 00:00:00,Debit Card,Success,64959.2
700310,558918,2026-07-18 00:00:00,Credit Card,Refunded,73921.93
700311,503683,2026-05-08 00:00:00,UPI,Success,16091.46
700312,504492,2025-09-20 00:00:00,UPI,Success,72404.97
700313,555905,2026-07-25 00:00:00,COD,success,64787.39
700314,509112,2026-04-23 00:00:00,UPI,Success,49684.93
700315,534058,2025-05-03 00:00:00,UPI,,50151.13
700316,524237,2026-03-15 00:00:00,Debit Card,Refunded,72493.98
700317,509621,2025-06-17 00:00:00,Debit Card,Pending,47647.76
700318,506987,2026-05-16 00:00:00,UPI,Success,45274.59
700319,505910,2026-02-11 00:00:00,Net Banking,Success,20960.16
700320,598450,2026-07-30 00:00:00,Wallet,success,15844.16
700321,577877,2025-07-03 00:00:00,Debit Card,Success,26696.16
700322,508780,2026-01-17 00:00:00,Credit Card,Success,50212.4
700323,555617,2026-06-25 00:00:00,UPI,Success,21111.5
700324,513822,2026-05-27 00:00:00,Net Banking,Refunded,61205.62
700325,520655,2025-07-17 00:00:00,UPI,Success,62550.42
700326,578119,2026-04-24 00:00:00,Credit Card,Failed,7225.13
700327,545862,2026-03-16 00:00:00,UPI,Success,14066.7
700328,553245,2026-06-16 00:00:00,UPI,Success,63243.26
700329,552074,2025-06-25 00:00:00,COD,Success,28597.09
700330,598585,2025-12-01 00:00:00,Debit Card,Success,79781.91
700331,525671,2025-05-29 00:00:00,Debit Card,Refunded,13609.18
700332,528363,2025-11-17 00:00:00,UPI,Success,68277.25
700333,536355,2025-08-14 00:00:00,Debit Card,Success,6971.09
700334,538264,2025-09-13 00:00:00,Credit Card,Success,33242.54
700335,580090,2026-03-13 00:00:00,UPI,Success,3488.92
700336,553527,2025-02-02 00:00:00,Debit Card,Success,64481.0
700337,501322,2025-09-25 00:00:00,Debit Card,Failed,70104.02
700338,551085,2025-01-30 00:00:00,UPI,Success,73464.56
700339,586046,2026-03-12 00:00:00,Debit Card,Success,20174.58
700340,593117,2026-07-20 00:00:00,Debit Card,Success,37215.36
700341,590900,2025-03-08 00:00:00,UPI,Success,48033.46
700342,574918,2025-09-25 00:00:00,UPI,Refunded,21642.39
700343,532564,2026-08-14 00:00:00,Credit Card,Pending,66157.69
700344,581501,2025-08-21 00:00:00,Wallet,Failed,34494.45
700345,513892,2026-04-09 00:00:00,Debit Card,Failed,3005.05
700346,514401,2025-11-09 00:00:00,UPI,Success,66404.43
700347,565063,2025-05-30 00:00:00,UPI,Success,50585.17
700348,505871,2026-04-18 00:00:00,COD,Success,16500.79
700349,537360,2025-11-01 00:00:00,Credit Card,Success,51636.8
700350,594278,2025-05-19 00:00:00,UPI,Success,32499.91
700351,566720,2025-06-10 00:00:00,COD,Success,50968.33
700352,502818,2025-01-01 00:00:00,Debit Card,Failed,30899.02
700353,524504,2025-08-19 00:00:00,Cash on Delivery,Success,45029.61
700354,569125,2025-07-27 00:00:00,UPI,,9073.41
700355,548886,2025-05-07 00:00:00,Wallet,Refunded,70506.26
700356,544181,2025-02-07 00:00:00,Credit Card,Success,71120.27
700357,541625,2025-12-12 00:00:00,COD,Success,66693.39
700358,563901,2026-06-18 00:00:00,Net Banking,Success,72995.04
700359,538175,2025-05-05 00:00:00,Net Banking,Success,17191.61
700360,522292,2026-02-19 00:00:00,Net Banking,Refunded,74844.02
700361,572305,2025-07-24 00:00:00,COD,Success,54511.97
700362,502626,2025-09-16 00:00:00,UPI,Failed,4640.37
700363,529324,2025-03-17 00:00:00,COD,Refunded,38082.5
700364,599928,2025-11-20 00:00:00,upi,success,43399.67
700365,547783,2026-05-13 00:00:00,COD,Success,9940.78
700366,542050,2025-09-21 00:00:00,Net Banking,Pending,73680.29
700367,536516,2026-03-29 00:00:00,Cash on Delivery,Success,8777.11
700368,583215,2026-08-20 00:00:00,Debit Card,Success,40812.0
700369,540943,2025-11-02 00:00:00,Net Banking,Success,36834.72
700370,506029,2025-10-26 00:00:00,Credit Card,Failed,16277.66
700371,561219,2025-04-27 00:00:00,COD,Success,23545.96
700372,530841,2025-12-04 00:00:00,UPI,Success,47759.52
700373,558661,2026-04-06 00:00:00,UPI,Success,23628.21
700374,567619,2025-12-15 00:00:00,Debit Card,Success,18565.02
700375,559400,2025-07-28 00:00:00,Credit Card,Success,24556.67
700376,533826,2025-01-17 00:00:00,UPI,Success,59854.48
700377,572750,2025-02-02 00:00:00,COD,Failed,51839.63
700378,521401,2025-06-17 00:00:00,Debit Card,,6392.72
700379,530287,2025-11-18 00:00:00,Net Banking,Success,37532.52
700380,521413,2026-03-19 00:00:00,UPI,Success,27523.81
700381,515582,2026-03-31 00:00:00,Net Banking,Success,61385.1
700382,535082,2025-02-19 00:00:00,Net Banking,Success,13509.21
700383,512451,2026-04-07 00:00:00,upi,Failed,71228.69
700384,563451,2025-07-10 00:00:00,Credit Card,Refunded,76909.04
700385,597472,2026-04-21 00:00:00,Credit Card,success,26236.74
700386,585280,2026-07-22 00:00:00,UPI,Success,64910.99
700387,577505,2025-06-15 00:00:00,Debit Card,success,21675.63
700388,560940,2025-01-23 00:00:00,Debit Card,Success,78340.39
700389,526163,2025-10-19 00:00:00,upi,Success,13230.51
700390,557858,2025-09-22 00:00:00,Wallet,Success,58158.95
700391,536915,2025-06-18 00:00:00,Credit Card,Success,16797.38
700392,531520,2025-09-14 00:00:00,COD,Success,18611.12
700393,521335,2025-10-19 00:00:00,Cash on Delivery,Success,23810.27
700394,597791,2025-11-26 00:00:00,Debit Card,Success,
700395,581583,2025-12-10 00:00:00,UPI,Failed,33766.79
700396,586074,2026-07-30 00:00:00,UPI,Refunded,35335.56
700397,535205,2026-01-11 00:00:00,UPI,Success,
700398,563426,2026-07-28 00:00:00,Credit Card,Success,999999.0
700399,531243,2025-10-05 00:00:00,Debit Card,Success,2938.04
700400,588921,2025-08-10 00:00:00,Net Banking,Success,45630.65
700401,581241,2025-09-20 00:00:00,Debit Card,Success,14433.85
700402,529427,2026-08-06 00:00:00,Credit Card,Pending,21192.71
700403,571924,2025-02-12 00:00:00,UPI,Success,1160.97
700404,576068,2026-01-30 00:00:00,Debit Card,Success,43529.67
700405,541886,2026-02-19 00:00:00,UPI,Success,744.16
700406,552744,2025-08-24 00:00:00,Debit Card,Failed,8762.58
700407,507538,2025-10-11 00:00:00,COD,Success,16817.9
700408,531795,2025-08-03 00:00:00,Debit Card,Failed,2764.18
700409,578254,2026-03-02 00:00:00,upi,Success,30958.88
700410,533302,2026-05-26 00:00:00,Wallet,Success,71244.5
700411,557630,2025-01-25 00:00:00,Debit Card,Success,43083.71
700412,503234,2025-07-02 00:00:00,upi,Refunded,12034.73
700413,582822,2025-04-11 00:00:00,COD,,12776.85
700414,567105,2025-09-26 00:00:00,COD,Success,77136.2
700415,541084,2025-09-06 00:00:00,Net Banking,Success,36396.16
700416,513910,2025-04-21 00:00:00,Credit Card,Failed,74809.44
700417,579333,2025-02-01 00:00:00,UPI,Failed,54827.99
700418,511928,2026-07-23 00:00:00,Debit Card,Pending,30897.29
700419,529413,2025-10-14 00:00:00,Debit Card,Success,21410.47
700420,533166,2025-08-14 00:00:00,UPI,Success,7134.86
700421,500140,2026-09-05 00:00:00,Wallet,,31191.44
700422,527338,2025-08-06 00:00:00,Credit Card,Refunded,61797.53
700423,557242,2025-09-26 00:00:00,UPI,Failed,43863.08
700424,500231,2026-01-13 00:00:00,Credit Card,Success,24248.77
700425,588244,2025-06-28 00:00:00,upi,Success,64156.76
700426,559380,2026-02-19 00:00:00,UPI,Failed,24857.36
700427,503556,2025-07-12 00:00:00,UPI,Success,31410.35
700428,590910,2025-06-30 00:00:00,UPI,Success,22545.02
700429,508621,2026-03-19 00:00:00,COD,Success,73228.16
700430,551715,2026-06-03 00:00:00,Debit Card,Success,35212.75
700431,548805,2025-01-18 00:00:00,COD,Refunded,9719.47
700432,597735,2025-07-30 00:00:00,Debit Card,Success,29930.2
700433,570775,2025-03-02 00:00:00,Net Banking,Success,79189.92
700434,527861,2025-03-26 00:00:00,Credit Card,Failed,60485.83
700435,517558,2026-01-21 00:00:00,Wallet,Success,33662.04
